address,suburb,price,weekly_rent,NOY,GROWTH,VACANCY,LIQ_SALES,RISK,SUN_SCORE,FRONTAGE_RATIO,days_on_market,SALY
"16 NEVILLE ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3400000.0,2942.3076923076924,0.0327676470588235,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97527986049712
"31 TYNESIDE AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3380000.0,2925.0,0.0327624260355029,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97506499048224
"17 CAMBRIDGE ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3380000.0,2925.0,0.0327624260355029,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97506499048224
"nan, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3200000.0,2769.230769230769,0.0327125,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97301029596515
"13 ROSEWALL ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3198000.0,2767.5,0.03271191369606,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97298616676125
"23 PATRICK ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3155000.0,2730.288461538461,0.0326991283676703,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9724599895097
"7 ALEXANDER AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3100000.0,2682.692307692308,0.0326822580645161,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97176569606054
"13 BEDFORD ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3050000.0,2639.423076923077,0.0326663934426229,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97111279119254
"21 ALEXANDER AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3032000.0,2623.846153846154,0.0326605540897097,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97087247396544
"22 GLOVER ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3000000.0,2596.153846153846,0.03265,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97043812282897
"1B COUNCIL ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,3000000.0,2596.153846153846,0.03265,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97043812282897
"34 HOLLYWOOD CR, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2980000.0,2578.846153846154,0.032643288590604,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.97016191631768
"7 OWEN ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2925000.0,2531.25,0.0326243589743589,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96938287231151
"71 MCCLELLAND ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2900000.0,2509.6153846153848,0.0326155172413793,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96901899282278
"248 HIGH ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2900000.0,2509.6153846153848,0.0326155172413793,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96901899282278
"74 WARRANE RD, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2875000.0,2487.980769230769,0.0326065217391304,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96864878499508
"23 HOLLYWOOD CR, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2870000.0,2483.653846153846,0.0326047038327526,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96857396947588
"39 GLOVER ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2850000.0,2466.346153846154,0.0325973684210526,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9682720822932
"60 WARRANE RD, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2800000.0,2423.076923076923,0.0325785714285714,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9674984963876
"33 WARRANE RD, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2790000.0,2414.423076923077,0.0325747311827957,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96734045195524
"13 NEVILLE ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2770000.0,2397.1153846153848,0.0325669675090252,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96702093974548
"329 PENSHURST ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2750000.0,2379.8076923076924,0.0325590909090909,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9666967800854
"18 TYNESIDE AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2750000.0,2379.8076923076924,0.0325590909090909,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9666967800854
"236 HIGH ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2740000.0,2371.153846153846,0.0325551094890511,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96653292565864
"10 ALEXANDER AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2740000.0,2371.153846153846,0.0325551094890511,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96653292565864
"13 CAMBRIDGE ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2700000.0,2336.538461538461,0.0325388888888888,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9658653705868
"30A MACMAHON ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2600000.0,2250.0,0.0324961538461538,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96410661972445
"208 HIGH ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2570000.0,2224.038461538461,0.0324826848249027,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96355230525032
"12 TYNESIDE AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2565000.0,2219.7115384615386,0.0324804093567251,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96345865888044
"10 BEDFORD ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2560000.0,2215.3846153846152,0.032478125,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96336464670438
"12 PATRICK ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2550000.0,2206.730769230769,0.0324735294117647,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96317551632671
"4 CRABBES AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2540000.0,2198.076923076923,0.0324688976377952,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9629848967335
"12A VICTORIA AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2511000.0,2172.980769230769,0.0324552568697729,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.96242351406046
"9B CHALEYER ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2500000.0,2163.4615384615386,0.03245,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9622071687931
"224 SYDNEY ST, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2500000.0,2163.4615384615386,0.03245,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9622071687931
"31 ALEXANDER AVE, NORTH WILLOUGHBY, NSW",NORTH WILLOUGHBY,2500000.0,2163.4615384615386,0.03245,0.2939583887244288,0.03,10.0,0.0,0.0,0.0,1,99.9622071687931
